path,latency,noise,snr
A->B->F,0.003906470411569611,7.807535778591504e-07,31.074860169076572
A->D->F,0.0038591754987805336,7.713011390885282e-07,31.127760272534537
A->B->D->F,0.005785884898497209,1.1563764369503728e-06,29.369007663672477
A->C->D->F,0.00613128796772627,1.2254092603669888e-06,29.117188420462654
A->C->E->F,0.007236810891325924,1.4463608834611801e-06,28.397233321166922
A->D->B->F,0.0061057210040996335,1.2202994051208384e-06,29.135336004409474
A->D->E->F,0.006904992692122895,1.3800431544290402e-06,28.60107332847047
A->B->D->E->F,0.008831702091839571,1.7651184522908845e-06,27.532261449786198
A->C->D->B->F,0.008377833473045368,1.674407526399299e-06,27.761388325275057
A->C->D->E->F,0.00917710516106863,1.8341512757075005e-06,27.36564847785062
A->C->E->D->F,0.008001516395921435,1.599196178707059e-06,27.96098256639077
A->D->C->E->F,0.008572745769052256,1.7133630172755173e-06,27.661506115255822
A->B->D->C->E->F,0.01049945516876893,2.098438315137362e-06,26.78103792613655
A->C->E->D->B->F,0.010248061901240535,2.048194444739369e-06,26.886288161196568
B->A,0.001768990752562263,3.535533905932738e-07,34.51544993495972
B->D->A,0.0039682413450922846,7.930992178549617e-07,31.006724784181998
B->D->C->A,0.00624035381403802,1.2472073391334222e-06,29.040613422260705
B->F->D->A,0.005996655157787883,1.198501326354405e-06,29.213614810061472
B->D->E->C->A,0.008110582242233186,1.6209942574734923e-06,27.902185236783154
B->F->D->C->A,0.008268767626733618,1.6526094476328655e-06,27.818297687990515
B->F->E->C->A,0.009374290550333272,1.8735610707270564e-06,27.273321460463006
B->F->E->D->A,0.009042472351130244,1.8072433416949167e-06,27.429833666199933
B->D->F->E->C->A,0.01125370503726087,2.2491839298182788e-06,26.47975028139772
B->F->D->E->C->A,0.010138996054928785,2.0263963659729355e-06,26.93275602056492
B->F->E->C->D->A,0.010710225428059602,2.140563204541394e-06,26.694719442004708
B->F->E->D->C->A,0.01131458482007598,2.261351462973377e-06,26.456319336441766
B->A->C,0.004142340897140901,8.278950396185308e-07,30.820247195000423
B->D->C,0.0038670036694593815,7.728656901081651e-07,31.118959719457653
B->A->D->C,0.005478275774867232,1.0948971734328683e-06,29.606266653970135
B->D->A->C,0.0063415914896709225,1.2674408668802186e-06,28.970722937592765
B->D->E->C,0.005737232097654548,1.1466526084482354e-06,29.4056813666335
B->F->D->C,0.005895417482154979,1.1782677986076086e-06,29.287559911790314
B->F->E->C,0.0070009404057546345,1.3992194217017995e-06,28.541141753136984
B->A->D->E->C,0.007348504203062398,1.4686840917729385e-06,28.330716092158937
B->D->F->E->C,0.008880354892682232,1.7748422807930219e-06,27.508402339467033
B->F->D->A->C,0.00837000530236652,1.6728429753796618e-06,27.76544823010504
B->F->D->E->C,0.007765645910350146,1.5520547169476787e-06,28.09092971963425
B->F->E->D->C,0.008941234675497341,1.7870098139481203e-06,27.47873062417797
B->A->D->F->E->C,0.010491626998090081,2.0968737641177248e-06,26.78427714120874
B->F->E->D->A->C,0.011415822495708883,2.2815849907201735e-06,26.417633488009
B->D,0.0020629799961233487,4.1231056256176617e-07,33.84775539310863
B->A->D,0.003674252101531199,7.343420458864693e-07,31.34101604879875
B->F->D,0.004091393808818946,8.177126710612095e-07,30.873992724822998
B->A->C->D,0.005946364570476934,1.18845016716493e-06,29.250190239307692
B->F->E->D,0.007137211002161308,1.4264546864017212e-06,28.457420198416465
B->A->C->E->D,0.0078165929986721,1.562237085505e-06,28.06253056813921
B->F->E->C->D,0.008804964079090667,1.7597745492481984e-06,27.54542967577386
B->A->C->E->F->D,0.010959715793699785,2.1904267578497864e-06,26.594712639162893
B->F->E->C->A->D,0.011279551899302208,2.254349726020252e-06,26.469787092752803
B->D->E,0.0039682413450922846,7.930992178549617e-07,31.006724784181998
B->F->E,0.005231949653192371,1.0456660311085258e-06,29.806069999869898
B->A->C->E,0.005911331649703164,1.1814484302118046e-06,29.27585230411839
B->A->D->E,0.005579513450500135,1.1151307011796648e-06,29.526742272575458
B->D->C->E,0.005635994422021644,1.1264190807014389e-06,29.483000015141428
B->D->F->E,0.00711136414011997,1.4212888901997481e-06,28.473176387031014
B->F->D->E,0.005996655157787883,1.198501326354405e-06,29.213614810061472
B->A->C->D->E,0.00785162591944587,1.5692388224581253e-06,28.043109561053512
B->A->D->C->E,0.0072472665274294955,1.448450564026142e-06,28.390963227847163
B->A->D->F->E,0.00872263624552782,1.743320373524451e-06,27.586227943769032
B->D->A->C->E,0.008110582242233185,1.6209942574734923e-06,27.902185236783154
B->F->D->C->E,0.007664408234717242,1.5318211892008823e-06,28.147919273115363
B->A->C->D->F->E,0.010994748714473555,2.197428494802912e-06,26.580852481394132
B->F->D->A->C->E,0.010138996054928783,2.0263963659729355e-06,26.93275602056492
B->F,0.0021374796590073485,4.2720018726587666e-07,33.69368565603753
B->D->F,0.0040168941459349464,8.02823046357099e-07,30.953801688675945
B->A->D->F,0.005628166251342797,1.124854529681802e-06,29.489036384783397
B->D->E->F,0.007062711339277307,1.4115650616976108e-06,28.502990996034512
B->A->C->D->F,0.007900278720288532,1.5789626509602627e-06,28.016281427426254
B->A->C->E->F,0.009005801643888187,1.7999142740544539e-06,27.44748178892078
B->A->D->E->F,0.008673983444685158,1.733596545022314e-06,27.610519672161796
B->D->C->E->F,0.008730464416206667,1.7448849245440882e-06,27.582332095549177
B->A->C->D->E->F,0.010946095913630893,2.1877046663007746e-06,26.600113068600816
B->A->C->E->D->F,0.009770507148483699,1.952749569300333e-06,27.093534493105487
B->A->D->C->E->F,0.010341736521614518,2.066916407868791e-06,26.84677087153755
B->D->A->C->E->F,0.011205052236418208,2.2394601013161414e-06,26.49856670630587
C->A,0.0023733501445786383,4.74341649025257e-07,33.23908740944319
C->D->A,0.003709285022304969,7.413437828395945e-07,31.299803502301586
C->D->B->A,0.005635994422021644,1.1264190807014389e-06,29.483000015141428
C->E->D->A,0.005579513450500135,1.1151307011796648e-06,29.526742272575458
C->D->F->B->A,0.007664408234717242,1.5318211892008821e-06,28.147919273115363
C->E->D->B->A,0.007506222850216811,1.5002059990415092e-06,28.238491022080623
C->E->F->B->A,0.008769931158316896,1.7527728122950735e-06,27.562743718472824
C->E->F->D->A,0.00872263624552782,1.7433203735244512e-06,27.586227943769032
C->D->E->F->B->A,0.010710225428059602,2.140563204541394e-06,26.694719442004708
C->E->D->F->B->A,0.009534636662912408,1.9056081075409524e-06,27.199664081215793
C->E->F->B->D->A,0.010969181750846917,2.1923186395567617e-06,26.59096323662049
C->E->F->D->B->A,0.010649345645244494,2.1283956713862956e-06,26.719476329905767
C->A->B,0.004142340897140901,8.278950396185308e-07,30.820247195000423
C->D->B,0.0038670036694593815,7.728656901081651e-07,31.118959719457653
C->A->D->B,0.0063415914896709225,1.2674408668802186e-06,28.970722937592765
C->D->A->B,0.005478275774867232,1.0948971734328683e-06,29.606266653970135
C->D->F->B,0.005895417482154979,1.1782677986076084e-06,29.287559911790314
C->E->D->B,0.005737232097654548,1.1466526084482354e-06,29.4056813666335
C->E->F->B,0.007000940405754634,1.3992194217017997e-06,28.541141753136984
C->A->D->F->B,0.00837000530236652,1.672842975379662e-06,27.76544823010504
C->D->E->F->B,0.00894123467549734,1.7870098139481203e-06,27.47873062417797
C->E->D->A->B,0.007348504203062398,1.4686840917729385e-06,28.330716092158937
C->E->D->F->B,0.007765645910350146,1.5520547169476787e-06,28.09092971963425
C->E->F->D->B,0.008880354892682232,1.7748422807930219e-06,27.508402339467033
C->A->D->E->F->B,0.011415822495708881,2.281584990720174e-06,26.417633488008995
C->E->F->D->A->B,0.010491626998090081,2.096873764117725e-06,26.78427714120874
C->D,0.0018040236733360328,3.60555127546399e-07,34.43028323846582
C->A->D,0.004278611493547574,8.551303043184525e-07,30.679677026582116
C->E->D,0.003674252101531199,7.343420458864693e-07,31.34101604879875
C->A->B->D,0.006205320893264249,1.240205602180297e-06,29.06506311216375
C->E->F->D,0.006817374896558884,1.3625317182312558e-06,28.656533790384945
C->A->B->F->D,0.008233734705959847,1.6456077106797403e-06,27.83673686372996
C->E->F->B->D,0.009063920401877982,1.811529984263566e-06,27.41954473171017
C->A->B->F->E->D,0.011279551899302208,2.2543497260202525e-06,26.469787092752803
C->E->F->B->A->D,0.010675192507285831,2.133561467588269e-06,26.708948406650595
C->E,0.001768990752562263,3.535533905932738e-07,34.51544993495972
C->D->E,0.003709285022304969,7.413437828395945e-07,31.299803502301586
C->A->D->E,0.0061838728425165105,1.235918959611648e-06,29.080100054181944
C->D->F->E,0.006852407817332653,1.369533455184381e-06,28.634273542647094
C->A->B->D->E,0.008110582242233185,1.6209942574734925e-06,27.902185236783154
C->A->B->F->E,0.009374290550333272,1.8735610707270568e-06,27.273321460463006
C->A->D->F->E,0.009326995637544196,1.8641086319564346e-06,27.29528782494622
C->D->B->F->E,0.009098953322651752,1.8185317212166912e-06,27.402791190089314
C->A->B->D->F->E,0.01125370503726087,2.249183929818279e-06,26.47975028139772
C->A->B->F->D->E,0.010138996054928783,2.026396365972936e-06,26.93275602056492
C->A->D->B->F->E,0.011573541142863294,2.3131068979887444e-06,26.358042962679132
C->D->A->B->F->E,0.010710225428059604,2.140563204541394e-06,26.694719442004708
C->D->F,0.0037579378231476306,7.510676113417318e-07,31.243209659106853
C->E->F,0.0048634607467472855,9.72019234435923e-07,30.123251411161796
C->A->B->F,0.006279820556148249,1.2550952268844075e-06,29.013233220383363
C->A->D->F,0.006232525643359172,1.2456427881137853e-06,29.04606482069235
C->D->B->F,0.00600448332846673,1.2000658773740419e-06,29.207949127900925
C->D->E->F,0.0068037550164899915,1.3598096266822436e-06,28.665218885919867
C->E->D->F,0.005628166251342797,1.124854529681802e-06,29.489036384783397
C->A->B->D->F,0.008159235043075848,1.6307180859756299e-06,27.876211120973974
C->A->D->B->F,0.00847907114867827,1.6946410541460953e-06,27.70922276642025
C->A->D->E->F,0.009278342836701533,1.8543848034542972e-06,27.31800140376912
C->D->A->B->F,0.0076157554338745805,1.522097360698745e-06,28.175575671042953
C->E->D->B->F,0.007874711756661896,1.5738527957141121e-06,28.030358901463977
C->A->B->D->E->F,0.011205052236418208,2.239460101316142e-06,26.49856670630587
C->E->D->A->B->F,0.009485983862069747,1.8958842790388152e-06,27.221881746501914
D->A,0.001905261348968936,3.807886552931955e-07,34.19315998882512
